Accuracy,Precision,Recall
0.9998330885298438,0.9998322105109704,0.9998333533293341
0.999866470823875,0.9998663973850869,0.9998666733320002
0.9998330885298438,0.9998330972381678,0.9998330439394799
0.99983308295777,0.9998324792038432,0.9998330306088127
0.999799699549324,0.9997994412002985,0.9997993945509588
0.999933233183108,0.9999330373957492,0.9999333333333333
0.999732932732432,0.9997320492113335,0.9997333333333334
0.99983308295777,0.9998327681141695,0.9998330306088126
1.0,1.0,1.0
0.999866466366216,0.9998663904738073,0.9998663638178029
